DNI,APELLIDOS Y NOMBRES,CARGO,CLIENTE,DIRECCION,SUPERVISOR,JORNADA,HORARIO,DESCANSO,UNIDAD,FECHA DE INGRESO,FECHA DE CESE,fecha_asistencia,estado_original,estado_limpio,estado_normalizado,es_atipico,es_activo_en_fecha
00000001,FICTICIO_1,OPERARIO DE LIMPIEZA,APUDEX SAC / 20602893350,"Av. Nicolas Ayllon 2635, El Agustino 150104, Perú, cerca del Mall Plaza Santa Anita",SUPERVISOR_1,LUNES A SABADO,09:00 - 18:00,DOMINGO,APUDEX,1970-01-01,1970-01-01,2026-04-19,D,D,Descanso,False,False
00000002,FICTICIO_2,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237,Archipielago Lurigancho Lima 15457 https://share.google/gBp6uP3RqXWiMFgcK,SUPERVISOR_2,LUNES A DOMINGO,06:00 - 15:00,DOMINGO,CD-HUACHIPA,1970-01-01,1970-01-01,2026-04-19,D,D,Descanso,False,False
00000003,FICTICIO_3,OPERARIO DE LIMPIEZA,APUDEX SAC / 20602893350,"Av. Nicolas Ayllon 2635, El Agustino 150104, Perú, cerca del Mall Plaza Santa Anita",SUPERVISOR_3,LUNES A SABADO,06:00 - 15:00,DOMINGO,APUDEX,2025-01-11,,2026-04-19,D,D,Descanso,False,True
00000004,FICTICIO_4,OPERARIO DE LIMPIEZA,APUDEX SAC / 20602893350,"Av. Nicolas Ayllon 2635, El Agustino 150104, Perú, cerca del Mall Plaza Santa Anita",SUPERVISOR_4,LUNES A SABADO,06:00 - 15:00,DOMINGO,APUDEX,2025-01-11,,2026-04-19,D,D,Descanso,False,True
00000005,FICTICIO_5,OPERARIO DE LIMPIEZA,APUDEX SAC / 20602893350,"Av. Nicolas Ayllon 2635, El Agustino 150104, Perú, cerca del Mall Plaza Santa Anita",SUPERVISOR_5,LUNES A SABADO,09:00 - 18:00,DOMINGO,APUDEX,1970-01-01,,2026-04-19,,NAN,Atípico por Verificar,True,True
00000006,FICTICIO_6,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_6,LUNES A SABADO,06:00 - 15:00,DOMINGO,AREQUIPA,1970-01-01,,2026-04-19,D,D,Descanso,False,True
00000007,FICTICIO_7,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_7,LUNES A SABADO,06:00 - 15:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-19,D,D,Descanso,False,True
00000008,FICTICIO_8,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_8,LUNES A SABADO,12:00 - 21:00,DOMINGO,AREQUIPA,1970-01-01,,2026-04-19,D,D,Descanso,False,True
00000009,FICTICIO_9,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_9,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,1970-01-01,,2026-04-19,D,D,Descanso,False,True
00000010,FICTICIO_10,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_10,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-19,D,D,Descanso,False,True
00000011,FICTICIO_11,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_11,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-19,D,D,Descanso,False,True
00000012,FICTICIO_12,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_12,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,1970-01-01,,2026-04-19,D,D,Descanso,False,True
00000013,FICTICIO_13,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_13,LUNES A SABADO,12:00 - 21:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-19,D,D,Descanso,False,True
00000014,FICTICIO_14,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_14,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,1970-01-01,,2026-04-19,D,D,Descanso,False,True
00000015,FICTICIO_15,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_15,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-19,D,D,Descanso,False,True
00000016,FICTICIO_16,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_16,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-19,D,D,Descanso,False,True
00000017,FICTICIO_17,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_17,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-19,D,D,Descanso,False,True
00000018,FICTICIO_18,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_18,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-19,D,D,Descanso,False,True
00000019,FICTICIO_19,OPERARIO DE LIMPIEZA,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_19,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,1970-01-01,,2026-04-19,D,D,Descanso,False,True
00000020,FICTICIO_20,OPERARIO DE ESPACIOS CONFINADOS,ALICORP SAA / 20100055237," Av Parra 400, Arequipa 04001 y Av. los Incas 1112, Arequipa 04001",SUPERVISOR_20,LUNES A SABADO,05:00 - 14:00,DOMINGO,AREQUIPA,2025-01-11,,2026-04-19,D,D,Descanso,False,True
